Name,Location,StartDate,LastUpdate,Type,Type_Level,Description,Owner
1901 Russell St,1901 Russell St,04/26/2018,04/26/2018,State / County,State / County,"On this project at 1901 Russell St, Berkeley, CA 94703 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2503 Haste St,2503 Haste St,08/22/2018,04/26/2021,Commercial,Commercial,"On this project at 2503 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 27 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2631 Durant Ave,2631 Durant Ave,11/27/2018,09/05/2019,Commercial,Commercial,"On this project at 2631 Durant Ave, Berkeley, CA 94704 there have been 0 permits filed, 4 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
380 MINOR HALL,380 MINOR HALL,04/27/2018,09/28/2019,State / County,State / County,"On this project at 380 MINOR HALL, Berkeley, CA 94720 there have been 0 permits filed, 1 preliminary notice  exchanged, 2 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",University of California Berkeley
804 Heinz Ave,804 Heinz Ave,09/14/2018,02/23/2023,Commercial,Commercial,"On this project at 804 Heinz Ave, Berkeley, CA 94710 there have been 0 permits filed, 3 preliminary notices  exchanged, 4 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","Wareham Property Group, Inc"
2501 Haste St,2501 Haste St,10/29/2018,06/21/2019,Commercial,Commercial,"On this project at 2501 Haste St, Berkeley, CA 94704 there have been 0 permits filed, 2 preliminary notices  exchanged, 14 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2446 McKinley Ave,2446 McKinley Ave,10/11/2018,11/21/2019,State / County,State / County,"On this project at 2446 McKinley Ave, Berkeley, CA 94703 there have been 0 permits filed, 1 preliminary notice  exchanged, 10 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2072 Addison St,2072 Addison St,10/11/2018,05/17/2023,Commercial,Commercial,"On this project at 2072 Addison St, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1315 Alcatraz Ave,1315 Alcatraz Ave,12/04/2018,12/08/2018,Commercial,Commercial,"On this project at 1315 Alcatraz Ave, Berkeley, CA 94702 there have been 0 permits filed, 2 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
2067 University Ave,2067 University Ave,03/13/2019,04/26/2023,Commercial,Commercial,"On this project at 2067 University Ave, Berkeley, CA 94704 there have been 1 permit filed, 4 preliminary notices  exchanged, 3 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
100 Seawall Dr,100 Seawall Dr,02/16/2019,12/22/2022,State / County,State / County,"On this project at 100 Seawall Dr, Berkeley, CA 94710 there have been 2 permits filed, 1 preliminary notice  exchanged, 0 lien waivers exchanged between companies and 1 lien filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",City of Berkeley
2628 Shattuck Ave,2628 Shattuck Ave,12/21/2018,01/10/2023,Commercial,Commercial,"On this project at 2628 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 6 preliminary notices  exchanged, 18 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Read Investments
2510 Channing Way,2510 Channing Way,01/30/2019,01/06/2021,Commercial,Commercial,"On this project at 2510 Channing Way, Berkeley, CA 94704 there have been 0 permits filed, 3 preliminary notices  exchanged, 0 lien waivers exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",Unknown
1919 Shattuck Ave,1919 Shattuck Ave,05/03/2022,07/20/2022,Commercial,Commercial,"On this project at 1919 Shattuck Ave, Berkeley, CA 94704 there have been 0 permits filed, 1 preliminary notice  exchanged, 1 lien waiver exchanged between companies and 0 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.",The Regents of University California
1698 University Ave,1698 University Ave,04/11/2019,01/19/2023,Commercial,Commercial,"On this project at 1698 University Ave, Berkeley, CA 94703 there have been 0 permits filed, 5 preliminary notices  exchanged, 1 lien waiver exchanged between companies and 4 liens filed. Below you can find when the various project and payment events occurred over the last several years of data where available. You can also report a payment event if you’re on this project.","PR II/BWG The Launch Owner, LLC"
